ID Vítima Indiciado/suspeito,AIS,Município de ocorrência,Data da comunicação,Data da ocorrência,Tipo de local,Idade da vítima,Gênero da vítima,Profissão da vítima,faixa etaria
AI0976,AIS 22,Piquet Carneiro,2016-07-12,2016-07-12,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0655,AIS 18,Icapuí,2017-01-06,2016-07-25,RESIDENCIA PARTICULAR,17.0,Feminino,NÃO INFORMADO,Jovem
AI0753,AIS 19,Altaneira,2016-07-25,2016-07-25,RESIDENCIA PARTICULAR,4.0,Masculino,NÃO INFORMADO,Criança
AI0748,AIS 18,Iracema,2016-09-20,2016-07-27,RESIDENCIA PARTICULAR,13.0,Feminino,NÃO INFORMADO,Adolecencia
AI0623,AIS 17,Itapipoca,2016-10-27,2016-08-23,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0598,AIS 25,Horizonte,2016-08-23,2016-08-23,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0538,AIS 16,Crateús,2016-08-24,2016-08-23,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1080,AIS 17,Uruburetama,2016-08-25,2016-08-25,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0664,AIS 21,Iguatu,2016-08-29,2016-08-28,RESIDENCIA PARTICULAR,2.0,Feminino,ESTUDANTE,Criança
AI0664,AIS 21,Iguatu,2016-08-29,2016-08-28,RESIDENCIA PARTICULAR,5.0,Feminino,ESTUDANTE,Criança
AI0303,AIS 09,Fortaleza,2016-09-02,2016-09-02,NÃO INFORMADO,2.0,Masculino,ESTUDANTE,Criança
AI0749,AIS 18,Iracema,2016-09-20,2016-09-02,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1081,AIS 17,Uruburetama,2016-11-28,2016-09-05,RESIDENCIA PARTICULAR,13.0,Masculino,ESTUDANTE,Adolecencia
AI0034,AIS 02,Fortaleza,2016-09-13,2016-09-13,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0020,AIS 01,Fortaleza,2016-09-16,2016-09-16,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0069,AIS 09,Fortaleza,2016-10-13,2016-09-20,REPARTICAO PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0875,AIS 23,Paraipaba,2016-10-17,2016-09-28,RESIDENCIA PARTICULAR,39.0,Feminino,PROFESSOR(A),Adulto
AI0761,AIS 19,Barbalha,2016-10-10,2016-10-10,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0174,AIS 12,Maracanaú,2016-10-18,2016-10-12,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0797,AIS 21,Lavras da Mangabeira,2016-10-16,2016-10-14,RESIDENCIA PARTICULAR,11.0,Masculino,ESTUDANTE,Adolecencia
AI0001,AIS Não Identificada (Fortaleza),Fortaleza,2017-12-05,2016-10-17,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0864,AIS 21,Orós,2016-10-19,2016-10-19,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0096,AIS 12,Maracanaú,2016-10-21,2016-10-20,RESIDENCIA PARTICULAR,16.0,Masculino,VENDEDOR AMBULANTE,Jovem
AI0096,AIS 12,Maracanaú,2016-10-21,2016-10-20,RESIDENCIA PARTICULAR,15.0,Masculino,DESEMPREGADO,Adolecencia
AI0644,AIS 20,Jaguaretama,2016-11-04,2016-11-04,REPARTICAO PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0356,AIS 17,Acaraú,2017-08-07,2016-11-04,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1021,AIS 22,Tauá,2016-11-16,2016-11-09,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0085,AIS 12,Maracanaú,2017-05-26,2016-11-11,RESIDENCIA PARTICULAR,11.0,Masculino,ESTUDANTE,Adolecencia
AI0085,AIS 12,Maracanaú,2017-05-26,2016-11-11,RESIDENCIA PARTICULAR,11.0,Masculino,NÃO INFORMADO,Adolecencia
AI0926,AIS 18,Russas,2016-12-06,2016-11-20,RESIDENCIA PARTICULAR,24.0,Masculino,BENEFICIÁRIO,Jovem
AI0036,AIS 02,Fortaleza,2016-12-24,2016-11-24,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0009,AIS 10,Fortaleza,2017-07-24,2016-11-29,"HOSPITAL, CLINICA, ETC",87.0,Feminino,NÃO INFORMADO,Idoso
AI0184,AIS 24,Maranguape,2016-11-29,2016-11-29,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0122,AIS 11,Caucaia,2016-12-10,2016-12-10,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0007,AIS 07,Fortaleza,2016-12-11,2016-12-11,ESTACIONAMENTO,2.0,Masculino,NÃO INFORMADO,Criança
AI0604,AIS 25,Horizonte,2016-12-14,2016-12-14,NÃO INFORMADO,20.0,Masculino,INCAPAZ,Jovem
AI0604,AIS 25,Horizonte,2016-12-14,2016-12-14,NÃO INFORMADO,13.0,Feminino,ESTUDANTE,Adolecencia
AI0180,AIS 12,Maracanaú,2017-12-05,2016-12-15,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1086,AIS 17,Uruburetama,2017-01-24,2016-12-20,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI1133,AIS 14,Sobral,2016-12-24,2016-12-24,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0634,AIS 20,Jaguaretama,2016-12-28,2016-12-28,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
